Model__discount,st__horizon,st__window_size,RMSE,MAE
0.7,1,1,148.75590742044886,48.09329151354132
0.7,1,5,161.55803815308406,57.73429944919937
0.7,1,50,166.68985283259605,61.57892024253442
0.7,1,150,166.6898531461108,61.57891870074445
0.7,1,300,166.6898531461108,61.57891870074445
0.7,6,1,269.4544861130658,100.94479198455866
0.7,6,5,261.6910197820634,99.97899315014149
0.7,6,50,261.1083668986103,101.0618406276898
0.7,6,150,261.10836641376204,101.06182993762164
0.7,6,300,261.10836641376204,101.06182993762164
0.7,144,1,751.2410125946732,373.8172976068762
0.7,144,5,744.3279642850368,372.793392297758
0.7,144,50,741.3181691285587,371.6176614114123
0.7,144,150,741.318167006749,371.6176532994468
0.7,144,300,741.318167006749,371.6176532994468
0.77,1,1,148.75590742044886,48.09329151354132
0.77,1,5,165.5607118016115,59.47383532330691
0.77,1,50,176.71578149478333,66.81280970758041
0.77,1,150,176.71584961540174,66.81312309137968
0.77,1,300,176.71584961540174,66.81312309137968
0.77,6,1,269.4544861130658,100.94479198455866
0.77,6,5,262.6691155926534,100.82718904153634
0.77,6,50,264.07670945472665,103.10123876486202
0.77,6,150,264.076682043744,103.10103156018388
0.77,6,300,264.076682043744,103.10103156018388
0.77,144,1,751.2410125946732,373.8172976068762
0.77,144,5,744.1612971168411,372.6099421114576
0.77,144,50,739.6097743305772,372.50847957626104
0.77,144,150,739.6095375935671,372.50791560174514
0.77,144,300,739.6095375935671,372.50791560174514
0.85,1,1,148.75590742044886,48.09329151354132
0.85,1,5,170.35731926603654,61.52741110003962
0.85,1,50,196.73836841581445,77.34834762878896
0.85,1,150,196.7555016256208,77.37745790277327
0.85,1,300,196.75550162611066,77.37745789738071
0.85,6,1,269.4544861130658,100.94479198455866
0.85,6,5,264.12099014992185,101.22306666010648
0.85,6,50,272.99282203189017,109.22869801837082
0.85,6,150,272.99645031482896,109.283965428085
0.85,6,300,272.99645031398757,109.28396542359346
0.85,144,1,751.2410125946732,373.8172976068762
0.85,144,5,744.1134654925804,372.6898171775837
0.85,144,50,736.8621461327124,371.7649099024927
0.85,144,150,736.832348178075,371.74616462462035
0.85,144,300,736.8323481722696,371.7461646408509
0.92,1,1,148.75590742044886,48.09329151354132
0.92,1,5,174.6240020577242,63.341758148447155
0.92,1,50,234.85050548252286,96.76663947879143
0.92,1,150,236.36198709680863,98.18301232606444
0.92,1,300,236.3621430429459,98.18358588415929
0.92,6,1,269.4544861130658,100.94479198455866
0.92,6,5,265.6165702856111,102.07297402467175
0.92,6,50,296.15616601775764,123.15981588085289
0.92,6,150,296.9928054932174,124.37241091837467
0.92,6,300,296.99279077035675,124.37434933216772
0.92,144,1,751.2410125946732,373.8172976068762
0.92,144,5,744.1805426452373,373.08286232077154
0.92,144,50,733.4151183875425,373.22823140012224
0.92,144,150,732.1846998825134,372.9044932914602
0.92,144,300,732.1839338976287,372.9070651946982
1.0,1,1,148.75590742044886,48.09329151354132
1.0,1,5,179.45434847024248,65.20640914916982
1.0,1,50,340.4651962861919,148.78630188232538
1.0,1,150,479.67227483469594,243.00664625877533
1.0,1,300,565.729456838767,330.5601804330771
1.0,6,1,269.4544861130658,100.94479198455866
1.0,6,5,267.50201434296315,103.14404892268945
1.0,6,50,378.4838940188825,167.05199795779842
1.0,6,150,497.93307851123626,253.06138257160814
1.0,6,300,576.153857071238,338.1800840413696
1.0,144,1,751.2410125946732,373.8172976068762
1.0,144,5,744.3590580131728,372.8120246222855
1.0,144,50,739.6113722337973,385.60341280499847
1.0,144,150,735.2137512749866,419.1683798674402
1.0,144,300,718.3822108630553,451.0827829479539
