,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_xgb__n_estimators,param_xgb__min_child_weight,param_xgb__max_depth,param_xgb__learning_rate,param_st__window_size,param_st__horizon,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,41.22292478879293,14.819776098252294,0.2902778784434001,0.005994208207453105,300,3,4,0.2,8,daily,"{'xgb__n_estimators': 300, 'xgb__min_child_weight': 3, 'xgb__max_depth': 4, 'xgb__learning_rate': 0.2, 'st__window_size': 8, 'st__horizon': 'daily'}",-203.47324800825172,-185.99075169631772,-269.7772705111218,-219.74709007189708,36.08945954532278,15
1,10.620168685913086,4.164223300773949,0.21455669403076172,0.029087014227569742,100,2,3,0.2,8,10min,"{'xgb__n_estimators': 100, 'xgb__min_child_weight': 2, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.2, 'st__window_size': 8, 'st__horizon': '10min'}",-55.33591765590702,-52.30977880619481,-45.144526234492616,-50.930074232198145,4.2734687947653835,1
2,60.27081592877706,24.57801399469854,0.36696910858154297,0.04843283862011636,300,3,5,0.01,8,hourly,"{'xgb__n_estimators': 300, 'xgb__min_child_weight': 3, 'xgb__max_depth': 5, 'xgb__learning_rate': 0.01, 'st__window_size': 8, 'st__horizon': 'hourly'}",-108.48390807400423,-103.7020730942787,-95.83994346485554,-102.67530821104616,5.212686118399408,6
3,15.208070278167725,5.243706433616716,0.23485755920410156,0.01317395554105079,100,2,4,0.2,8,10min,"{'xgb__n_estimators': 100, 'xgb__min_child_weight': 2, 'xgb__max_depth': 4, 'xgb__learning_rate': 0.2, 'st__window_size': 8, 'st__horizon': '10min'}",-56.16797157321127,-55.17557251591887,-45.07097528714365,-52.1381731254246,5.013659869880874,4
4,12.614320755004883,5.375632589839546,0.2623476982116699,0.029977994933101118,100,2,3,0.01,8,daily,"{'xgb__n_estimators': 100, 'xgb__min_child_weight': 2, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.01, 'st__window_size': 8, 'st__horizon': 'daily'}",-237.14892285685679,-198.17267201819388,-136.180950797792,-190.5008485576142,41.575437474850034,14
5,40.08611249923706,11.528161273290124,0.3110152880350749,0.04530999997986147,200,1,5,0.1,8,hourly,"{'xgb__n_estimators': 200, 'xgb__min_child_weight': 1, 'xgb__max_depth': 5, 'xgb__learning_rate': 0.1, 'st__window_size': 8, 'st__horizon': 'hourly'}",-109.47958480177175,-111.71062174651425,-112.71929912065647,-111.30316855631416,1.3536249588050229,9
6,10.696958859761557,3.161180019084261,0.21192320187886557,0.006309413636309595,100,1,3,0.1,8,hourly,"{'xgb__n_estimators': 100, 'xgb__min_child_weight': 1, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.1, 'st__window_size': 8, 'st__horizon': 'hourly'}",-110.21488023156888,-106.44030529994903,-100.71920819454137,-105.79146457535309,3.9036472324496074,7
7,27.95571009318034,9.874912528678518,0.2616415818532308,0.0024647573589903953,200,1,4,0.01,8,daily,"{'xgb__n_estimators': 200, 'xgb__min_child_weight': 1, 'xgb__max_depth': 4, 'xgb__learning_rate': 0.01, 'st__window_size': 8, 'st__horizon': 'daily'}",-188.184134270923,-171.56225187815332,-177.27864750628532,-179.00834455178722,6.895197965332118,12
8,17.396172682444256,6.415771475066692,0.21856689453125,0.00901724461186611,100,3,5,0.2,8,hourly,"{'xgb__n_estimators': 100, 'xgb__min_child_weight': 3, 'xgb__max_depth': 5, 'xgb__learning_rate': 0.2, 'st__window_size': 8, 'st__horizon': 'hourly'}",-111.5173420580604,-113.58408472804766,-123.65174110266307,-116.25105596292372,5.300657928921388,11
9,10.081949949264526,3.667623795126531,0.2538760503133138,0.05851785941734772,100,2,3,0.1,8,hourly,"{'xgb__n_estimators': 100, 'xgb__min_child_weight': 2, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.1, 'st__window_size': 8, 'st__horizon': 'hourly'}",-110.17889085899296,-106.25280929409054,-102.34097798735006,-106.25755938014453,3.199816293513791,8
