,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_xgb__n_estimators,param_xgb__min_child_weight,param_xgb__max_depth,param_xgb__learning_rate,param_st__window_size,param_st__horizon,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,209.38102547327676,88.63902254472795,1.1983739535013835,0.057044406120941374,200,2,4,0.01,8,10min,"{'xgb__n_estimators': 200, 'xgb__min_child_weight': 2, 'xgb__max_depth': 4, 'xgb__learning_rate': 0.01, 'st__window_size': 8, 'st__horizon': '10min'}",-208.54036462346573,-195.59495839209345,-203.0145871142467,-202.38330337660196,5.303758101062186,3
1,250.0471500555674,99.36876335392415,1.4374450047810872,0.07366390747911147,200,2,5,0.01,8,10min,"{'xgb__n_estimators': 200, 'xgb__min_child_weight': 2, 'xgb__max_depth': 5, 'xgb__learning_rate': 0.01, 'st__window_size': 8, 'st__horizon': '10min'}",-206.9765149785176,-197.87248123123146,-201.89636560977593,-202.24845393984165,3.7250353252962656,2
2,122.39776802062988,49.893377010077614,0.8833956718444824,0.029405347351556324,100,2,5,0.2,8,daily,"{'xgb__n_estimators': 100, 'xgb__min_child_weight': 2, 'xgb__max_depth': 5, 'xgb__learning_rate': 0.2, 'st__window_size': 8, 'st__horizon': 'daily'}",-629.8029657101678,-588.7301521238478,-603.6971316388091,-607.4100831576083,16.97220297446901,13
3,345.9745286305745,140.4849967888659,1.852876345316569,0.04844373819387888,300,2,5,0.01,8,daily,"{'xgb__n_estimators': 300, 'xgb__min_child_weight': 2, 'xgb__max_depth': 5, 'xgb__learning_rate': 0.01, 'st__window_size': 8, 'st__horizon': 'daily'}",-615.084302660863,-573.5891534973841,-600.6814383143169,-596.4516314908547,17.202331244101707,8
4,334.0180769761403,135.26369511700887,2.0875505606333413,0.30283462766933195,300,2,5,0.1,8,daily,"{'xgb__n_estimators': 300, 'xgb__min_child_weight': 2, 'xgb__max_depth': 5, 'xgb__learning_rate': 0.1, 'st__window_size': 8, 'st__horizon': 'daily'}",-630.4434172477338,-588.5227402517385,-603.946338828577,-607.6374987760164,17.31192818586516,14
5,69.41087532043457,28.21863864593417,0.6619029839833578,0.04419929529314969,100,1,3,0.2,8,hourly,"{'xgb__n_estimators': 100, 'xgb__min_child_weight': 1, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.2, 'st__window_size': 8, 'st__horizon': 'hourly'}",-275.23954087365087,-263.0413479984573,-271.2966607864533,-269.85918321952045,5.0825671775643775,4
6,321.3714283307393,135.23330267984687,1.8186079661051433,0.323877113889172,300,1,5,0.1,8,daily,"{'xgb__n_estimators': 300, 'xgb__min_child_weight': 1, 'xgb__max_depth': 5, 'xgb__learning_rate': 0.1, 'st__window_size': 8, 'st__horizon': 'daily'}",-629.112488513297,-586.6484153187059,-604.2906097608203,-606.6838378642743,17.418286054895837,12
7,215.75076508522034,88.24894966982019,1.1658210754394531,0.07444633949970447,200,3,5,0.1,8,10min,"{'xgb__n_estimators': 200, 'xgb__min_child_weight': 3, 'xgb__max_depth': 5, 'xgb__learning_rate': 0.1, 'st__window_size': 8, 'st__horizon': '10min'}",-155.39162104563005,-150.29575705798626,-147.45045139516438,-151.04594316626023,3.285080237696352,1
8,65.6905689239502,24.150929905298863,0.5838573773701986,0.017163348547893375,100,2,3,0.01,8,hourly,"{'xgb__n_estimators': 100, 'xgb__min_child_weight': 2, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.01, 'st__window_size': 8, 'st__horizon': 'hourly'}",-460.6885957137655,-418.88349923158324,-456.8805974136262,-445.484230786325,18.873692488029306,7
9,247.75966795285544,110.80349686344195,1.368294397989909,0.027419558015780242,300,3,4,0.1,8,daily,"{'xgb__n_estimators': 300, 'xgb__min_child_weight': 3, 'xgb__max_depth': 4, 'xgb__learning_rate': 0.1, 'st__window_size': 8, 'st__horizon': 'daily'}",-625.2980123769983,-586.4918970941013,-599.7329253371605,-603.8409449360867,16.106634546178853,11
10,127.6176410516103,58.95660346921445,0.8502736886342367,0.07694796906099942,200,3,3,0.2,8,daily,"{'xgb__n_estimators': 200, 'xgb__min_child_weight': 3, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.2, 'st__window_size': 8, 'st__horizon': 'daily'}",-620.1928382671938,-581.672439291769,-597.3090319249718,-599.7247698279782,15.818388592995026,9
11,179.988703250885,78.97132377896995,1.0680747032165527,0.03672296024112878,200,1,4,0.1,8,daily,"{'xgb__n_estimators': 200, 'xgb__min_child_weight': 1, 'xgb__max_depth': 4, 'xgb__learning_rate': 0.1, 'st__window_size': 8, 'st__horizon': 'daily'}",-621.8466682729542,-582.1160385987911,-598.3845884069559,-600.782431759567,16.308340874822676,10
12,276.5374063650767,121.97691023460585,1.3364582856496174,0.08855658390337037,300,3,4,0.2,8,hourly,"{'xgb__n_estimators': 300, 'xgb__min_child_weight': 3, 'xgb__max_depth': 4, 'xgb__learning_rate': 0.2, 'st__window_size': 8, 'st__horizon': 'hourly'}",-280.6192698243141,-264.4099531682426,-271.2731235408707,-272.10078217780915,6.643254760967344,5
13,303.597647190094,96.32105750198198,1.5016719500223796,0.45715539370060787,300,3,5,0.2,8,daily,"{'xgb__n_estimators': 300, 'xgb__min_child_weight': 3, 'xgb__max_depth': 5, 'xgb__learning_rate': 0.2, 'st__window_size': 8, 'st__horizon': 'daily'}",-640.9405748879987,-597.8018803719493,-610.375053327499,-616.3725028624823,18.114704741926463,15
14,115.2548402150472,29.503878997421257,0.7638391653696696,0.12607163092158497,200,3,3,0.01,8,hourly,"{'xgb__n_estimators': 200, 'xgb__min_child_weight': 3, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.01, 'st__window_size': 8, 'st__horizon': 'hourly'}",-314.9215831835584,-291.32762938852056,-309.10237033773325,-305.1171943032707,10.035931610629083,6
